text,sentiment
jay shree ram bhai,Positive
elvish bhai ek genuine question hai jab raja ko shraap tha ki 7 pidhi tak santan nahi hogi toh satvi pidhi tak baat phochegi kaise,Neutral
bhai 9 55 pe daru rakhi hai piche,Negative
bhaii hamara hotel h bawal ke pass me jab aao tab batana pakka raste me wha ruk ke jana kab aaoge bhaii ye batao jldi,Neutral
gadi ko dent laga dia yar,Neutral
9:55 phichee toh dekhoo aunty ji ko v dikhana padega,Positive
padmavat ki shouting chittorgarh me huai he,Neutral
hello bhai aap bikaner k fort me bhi aana bhu acha h,Positive
9:55 pa daru dekh rahi hai bhai tare papa na dekh liya to bhot maraa gaa,Negative
elvis bhaiya bhaukaal season 2 aa gayanavneet shikera g kajay hindelvis bhaiya ek baar rewari ke rampura mahal me bhi ghuma digiye,Positive
bhaukal hai bhi to hmare muzffarnagar ki khatrnak kyu na hogi bhai,Neutral
elvish bhai apki video dekh ke mja aaa jata ha mere comment pe like kr do elvish bhai and reply,Positive
sari wine ki bootle dekh raha,Negative
bhai ap na archit bhai se ache se behave kia kro pĺs i don t like ap har bat me archit bhai ko kyu zhasitte ho pls,Negative
but jay shree ram,Positive
bhai kota aaoo na ❤,Neutral
@10:10 prr daaru ki bottle dekho,Negative
lakshay ko sath mat rkha kr bhaii,Neutral
bhai big fan yarr sachi mai aap ki jo language or jo smile haye ❤ bhai best youtuber yall bro love u yall jai hind jay shri ram,Positive
bhai ek bat bolu room ma daru kasa aa gai,Neutral
padmavat ki shooting chittorgarh me hui thi,Neutral
kosli meetup rakhiyo bhai love from kosli rewari,Positive
jaipur me konsi jagah h bhai,Neutral
elives bhai alwar aaoge na,Neutral
bhai tere bed ke paas sarab ki botal rakhi hai,Negative
bhai daaru ka bottel dikh rha hai,Negative
bhaii daaru ki bottle to hata dete,Negative
bhai ajju ko akela kyu chod dete ho bhai,Neutral
bhaiya daru kibolte to picpa lete,Negative
bhai ek baar kataria ke ghar toh aajao,Neutral
bhai aap ko bhut supporte krte h plz bhai aap history ke saath majak mt kijiye,Positive
amer fort hai bhi yha pa mai pura ghym,Neutral
bhai bhindi ke itne shokeen kyo ho ☺ ☺ ☺,Positive
par jo bol uncle ji ko thum log ne bahut parehsan kiya uncle ji be like kaise kaise log aa jate hai,Negative
bhai meet up wali video kab daloge,Neutral
9:55 ko delete kardo,Negative
9:58 daaru spoted ❤,Negative
swad aa gaya bhai elvish tumhra feature bright ha moj kar di,Positive
mai jaipur me hi hu,Neutral
mazzza aaya bhai,Positive
tu vlog kam bakchhodi jyada krta h,Negative
aare elviah bhai kaafi nuksaan ho gaya isko theek krvane mai to nahi gaadi aa jaigee,Negative
tum daru pite ho,Neutral
kutto se yaad ayi apna mark ni dikha kbse kriti didi ne kha rkh dia use,Neutral
bhai apke papa kha h,Neutral
1:56 varanya nahi tum ghar hila rahe ho abhi to,Negative
love you bhai ❤,Positive
bhaiya please ek help kr do please,Neutral
fish 0:30 farak rhi hai shark ne pakad liya,Neutral
bhai app ka bolero song me face kyu blurr hai ❤❤❤❤❤❤❤,Neutral
elvish ka father ajkal vlog mei kyu nahi aatei?,Neutral
ssc cgl ka form dala tha bhaiya ne last time kya hua,Neutral
elvish bhai se har bacha der jata h,Neutral
girl friend ne bataya hai,Neutral
chutiya sa hai ye to bkl,Negative
love you bhai ❤❤❤,Positive
bhai please limit me raho 13:50 apne maze kar rahe ho balak ke sath aur koi bhi hadsa ho sakta hai by chance agar slip kar jao toe? please don t do that kind of things with kids,Negative
bache ko bde ho jane ke bd ptaa chlega ki mama toh bht bda harmi admi h ❤,Negative
bhai ya kya laughter chefs scripted show hai kyuki mane jo appne magic wali video dali this 11 days phle wali video main jannat ke hand main script dekhi thi,Neutral
sala faltu shehbaz ko support nehi kia uski behen shehnaz tujhe support kia jab sab ne tujhe jutti se pit dia snake wala sala ehsan faromosh kitna poysa lia mridul se chutia jesa muk tera shehbaz winner,Negative
7:22 system pe moot diya,Negative
jo board fail ki dhamki de vo khud fail hojayega,Negative
elvish bhai tum patle ho gaya ho yr,Negative
elvish ki galti nahi hai haryana mae mamu bhot pareshaan kerte hein kansh type,Positive
aaj aaya h phela wala vlog bhai,Neutral
elvish bhai apne podcast me nia sharma ko bhi bulana,Neutral
var ya ko sirf english kyu sikha rahe hai? this is the problem in india now they think english sleaking by kid is cool but enflish ke sath hindi haryanvi jo bhi mother tongue ho issi samay sikhana chahiye they can learn two even three language easily at this age,Negative
bhai anup bhai ne new tractor le liya ha,Neutral
ye jo ap bachi k sath kr rhy ho sahi nahi is sy bachi ko childhood trauma ho skta ha,Negative
mamu ko dekhkr chote se he darti hai varanya clean shave karo tum beta woh dar jaati hai anvay bahut sweet hai mamu ke saath varanya ke liye gift lekar aaya karo tabhi woh manegi kyu varanya ko dara rahe ho gande mamu lovely family❤❤❤❤enjoy,Negative
ye phla balak hai jisne mama ke pass jane se mana kiya hai,Positive
yeh grey sweatshirt m ldki elvish ki hone waali wife h kya??,Neutral
2:48 believe me guyzz elvish chuku se b chotta h,Negative
waaah rao mastt chuuku❤❤❤❤,Positive
so cute baby apni biwi ko bhi aise hi dalenge elvish ji ❤,Positive
elvish bhai always top ❤,Positive
aaj mja aayaa family ❤,Positive
bhai tujhme tbi case hote hai bache ko utha raha hai mazak mazak mai kbi hath se fisal gya n lene k dene pd jayege,Negative
anvay ne kya kardiya systum pe ye sirf wahi kar sakta he baki koi me himmat nahi he ye karne ki,Positive
vaaaaaiiisaaabbb kyaaa vlog thaa yehhh ohhhhhhooo vaaaiiii petttt faat gya haas haaske,Positive
ye bacca elvish ka kiya lagta hai,Neutral
7:52 ye asli reality hai har hospital m govt ya private dono mai,Negative
elvish in his baddie era for chukku chukku ka dar khtm ni hota aur anvay darta nii too much fun,Positive
bhai bhai thoda acha feel hua aaj to happyelvisharmy ❤,Positive
deshdrohi ka record koi ni tod skta kya kaam kiya tha apne dhurrendhar uske samne kuchh b ni h,Negative
saale srk aur ranbir ka chatukar,Negative
iski bhi jali hai bss jata nahi rha,Negative
muhammad bhi aisa hi tha,Neutral
tu bhi khush nahi hai re double dholki,Negative
krk bolywood wale dhurender pe nahi bole rahe hai us per bhi news banaye please krk ko der kyo hai news banane mei krk ko ab hero thodi babnna hai so pls news banaye,Neutral
jhooth bol raha hai amir,Negative
yaar tum bhi bik gye ho baut dukh hua ek hor andh bhakt paida ho gyashame,Negative
kya baat hai krk dimag ho to aap jaisa kamaal ke ho aap,Positive
krk sir aap padhte ya research nahi karte kya note bandi ke baad kitni fake currency pakdi gayi hai thoda bolne se pehle soch liya karo gov data hai pura year wise fake currency ka,Negative
in d company walo se kisi ko farak nahi padta hai log boycott kar chuke hai in lukkho ko fake collections dikhate hai hyper banane ke liye bus khud hat jayenge thode time me yeh dhurandar fictional or propaganda hogayi toh haidar shikara jaise movies kya hai extreme propaganda dhurandar is a fictional movie with timeline based and inspired from reality,Negative
14:19 bhai bass kar,Negative
abbey teri itni jal kyun rahi hai dhurandhar se?,Negative
gaali upshabh upshabh gaali gaali gaali kyu h kya h aap sab samjhdar ho,Negative
15:05 jhute,Negative
main nahi maanta ranbir kapoor sabse bada superstar carractor wise dekhe tohh ranvir singh hai ❤❤❤❤❤,Positive
this was nabil gabol not jamil jamali nabil gabol says jamils character is inspired by him fake news reviews analysis movies kuch asal or sachi baat bhi karo yaar jahil krk,Negative
propaganda hi v to pakistan k khilaaf to is desh k pakistan premi ko burra to lgega aur jydda bollywood wala pakistan premi hin,Neutral
netherlands say kash hmara desh bhi kuch sikhta corruption mai mauj karhe h sab aur janta ko propaganda movie mai interest h bas,Negative
epstein files ke upper movie kyu nahi banate,Neutral
bhai tere baton se tere vichar pata chalta hain aur tere vichar batatein hain k tu kitna bada gawar aur jahil insaan hain,Negative
muslim logo koi bhi poll kholo toh sabhi log ek satg sath propaganda propaganda karega,Negative
krk accept now ranbir tere jala diya accept kara he wins,Negative
krk ap me b dimag nahi hai ye videos ap sirf entertainment purpose ke liye banate ho first page pe disclaimer diya hai for entertainment purpose only,Negative
shilpa shetty ke dress ke neeche krk ka wig lag raha hai,Negative
krk ne ranbir ki mithai khai hai,Negative
ekbar tune b kaha tha dhurandhar ko propaganda movie aur yashraj movies me jo indian spy ko rogue dikhate hain aur isi ko acha wo propaganda nahi hai? tum jese log logo ko dhokha de rhe ho,Negative
dhurandhar 2 ne rail bana di h bollywood ke so called damads ki,Positive
tiles kab changed karega lukkhe,Negative
dhurandhar 2 chal gyi aur 2 rs jihadi lukha krk ne puri koshish kari thi picture ke baare main khrab bolkar,Negative
02:18 mai aamir ke bat se sahemat ho q ke ye film main b nahi dekhi sirf tareef hi sun ro q ke main b nahi dekah,Neutral
tu to bolta tha dhurandhar nahi chalege ab to chal gyi aur tere jal gyi lukhe,Negative
aditya dhar ek baccha hai abhi woh kuch bhi dikhayega to daikh lainge hum kya bewakoof hai jo 4 ghante dard kar lain,Negative
dhurandhar 2 ek bakwas movie hai business lai kai kya karen ek propaganda movie hai,Negative
same blazer mere pass bhi hai,Neutral
ye lukka aur iske sare jamati including dawoodwood is in deep depression and i am extremely happy seeing this,Negative
ye kaha ka bathroom hai,Neutral
chand mera dil film maine pichle hafte dekh li hai test screening mein,Neutral
tujhko review ati hai lukhe,Negative
pakistan was created as 2 nation theory if this guy was in pakistan he cd not have given his freedom of expression,Negative
dhurandhar se is lukkhe ki bahut jali hai bas chupa rha hai,Negative
akshay mithai ki yaad dila raha tha shilpa shetty ko,Neutral
rakesh bedi ne galat kaha chhua sharm aani chahiye kisi bujarg ko vese hi tharki bol rahe ho,Negative
pehle 2× speed se dekho fir vapas normal speed karo dekho kya hota he,Positive
krk sir ji sab kuch bahut acha laga par last wala sabse jyada acha tha love you sir ji respackt,Positive
krk bhau london kab jaoge aap abhi bhi india me ho as per background tiles,Neutral
chup beh lukkhe,Negative
agar rajnikant allu arjun ss rajamouli sir jaise mahanayak agar movie ki tarif kar di toh fake bhaando se kya umeed karni movie ke tarif ki,Positive
ranveer singh > ranbir kapoor like thoko jo jo agree karta hai,Neutral
3:12 tere kehne se ghanta farak padta hai tere kehne se teri biwi beti aur beta ko bhi ghanta farak padta hai teri biwi beti aur bete ko bhi pata hai ki tu lukha aur double dholki hai,Negative
hindu ko gali de jaygi kisi movie m or tb hindu kya krenge bycott krenge muslim ko gali dena mtlb picture chal gyi waah bhai chara nahi dikhana bs muslim ko galat dikhana movie ko hit krna hai isliye ise propgenda keh rahe h kaash hindu ko bhi dikhaya jata ki galat dikhna kesa hai brainwash krna kesa h jo yeh movies kri ri h jinko akal h woh sahi h jo kutte hai wahi dhurandar 2 ko best movie khte h,Negative
wo cycle pe chalenge to put jaenge,Neutral
ek point note karojab se lukhha bhai jail se aaya hai bollywood woalo ko pahele jaisa bura bolne se dar raha hai lekin krk bhai tumhare show ki jaan yahi baat hai ke tum bollywood walo ko bahut bura bura bolte ho agar tumne pahele jaisa show me nahi bola to public ka intrest tumhare channale se khatm hosakta hai islye agar tumko apna channel chalana hai to pahele jsa hi bollywood walo ki chaddi utarte raho public ko bhi maza aata haiaor haa apni besuri awaaz me wahi swagat wala gana bhi gate raho usko bhi sunne ko bahut se log taras rahe hai bollywood pol khol me aapka swagat hai ji aapka swagat hai,Negative
kamaal bhai aditya dhar ne propogenda banaya to hai lekin esne saare true events dikhaye fir pulwama kyo nahi dikhaya esilye nahi dikhaya kyo ki ye bjp sarkaar me hua tha mtlb saaf hai,Negative
abe lukhe kitna jalan ho rhi hai isko dhurandar se,Negative
100 150 rupees ki trophy,Negative
dekho dekho aa gaya lukkha apni ghanti dabwane aa gya,Negative
kuchh bhi bolo sar aapke hansne ki style badi jordar lagti hai muje,Positive
aap logo ek chiz notice kiya hoga k mere lukkhe dost ki hasi bhii fake hain,Negative
18:28 abe lodu jawan aur pathan ki corporate booking huyi thi na ki dhurandhar ki dhurandhar ka ticket mil nahi raha tha starting week me,Negative
bhai duggal sahab ko bhi ek aword de dete enko bhi bollywood me 10 saal ho gaye hai,Negative
bachha hai tu mera aaja tujhe triple dholki banao,Positive
jo actor nahi chal pa rahe unke paas ek hi raasta hai proper ganda film,Negative
aapka kehne ka matlab ye hi ki pakistan 500 ke duplicate note 60000 crore ke india me distribute kar de aur baad me note bandi karni chahi thi,Negative
akki shilpa se puchraha thaa apke aam acche lagrahe hai,Neutral
teri movie thi bhai deshdrohi vo movie nahi h tu khud h deshdrohi,Negative
pakistan ke khilaf koi bhi film banao bollywood walo ko problem ho jati hai keya chakkar hai bhai,Negative
sir aap india mai kaise arrest ho gaye aap toh uk dubai or london mai rehte ho,Neutral
teri baton ka koi velu nahi,Negative
dilbura uncle aakhir mard ban gaya budhape me,Neutral
hakla sharukh maha flop hai 15 saal se flop chal raha hai fake corporate booking karta hai,Negative
ek time tha d gang ke paise se hindi movie banti the aur log d se darte the aaj ye halat he ki ushi d ko aaj villian movie me dikhate he samay kisi ka ek jaisa nahi rehta,Negative
abe lukhhe i am buddha ek production company hai koi film nahi hai apne aap ko no 1 film critic kehta hai,Negative
ek baat batao pakistan ko galiyan padti h to aapko q dukh hota h,Neutral
tumhari koum ki yahi to khass baat h galat ko galat nahi boltenot bandi galat kaise h ye bata pehle,Negative
ab yeh paagal jee nahi paayega,Negative
lukkhe ageya,Neutral
shilpa ko trophy isne zindagi main kiya kyaa hai khali,Negative
dawood se paise lekar movie karte hai isiliye dhurandhar ko propaganda to bolenge hi ye bollywood wale,Negative
tumko jyada taklif haibas bol nahi rahe ho,Negative
hame jameel se kya lena dena,Negative
7:29 bhut harami h tu,Negative
kaun kaun chahta hai krk bhi podcast start kare,Neutral
kuchh jyada hi time weast kar ke escape kiya bhai,Negative
bro video upload kab karoge,Neutral
bahut bhadiya hai bhai,Positive
ff kyo chhod diye,Negative
bhai new vidio kab aayegi ff ki,Neutral
bhai sab acha hai par i need herobrine smp back,Positive
ajju bhai ajj bhi apne name ke aage 94 lagate hai,Neutral
jo bhi mere sath turnament kheloge vo reply de,Neutral
bhaiya free fire khelo please,Neutral
bhai aap shorts kyon nahin dalte?,Neutral
agar tum aju bhai ke fan real fan ho or free fire player ho to is uid me emote gift karo only legend 12343723671☠ ☠ ☠ ☠,Neutral
bhai ek bar mlbb khelo,Neutral
ajju bhai minecraft survival series start karo please,Neutral
bhai ap uncharted of lost legacy game series khelo bahut adventures or excited game hai,Neutral
aaju bahi aap kab shadi kar raha ho,Neutral
raju bhai please granny chapter 6 khelo ❤❤❤❤,Neutral
ajju bhai gta 4 khelo,Neutral
ajju bhai payal bhabhi se sadhi karlo ❤❤❤❤,Neutral
ajju bhai free fire ki video kab ay ghi,Neutral
thumbnail me acche dikh rahe ho,Positive
room open hai,Neutral
fir ohi bat agai admi jo garib hai na yoo sala apni adat se garib hai,Negative
18:14 chimkandi giri,Negative
ajju bhai the legend of a granny,Positive
ajju bhai heart dedo please,Neutral
ajjubhai udhar game khel raha hai or mera dil idhar dhak dhak kar raha hai,Positive
bhi ab to aap gu kh lo,Negative
ajjubhai jab se ap ne free fire ko leave kiya ha tab se apke view nahi a rahe,Negative
jate jate instagram ko pela diya,Negative
old squad ka sath gameplay plz bhai,Neutral
log hote honge gf lover bhabhi lover aunty lover apna ajju bhai to granny lover nikle,Negative
ajju bhai ki gaming bhot achi ha ❤❤❤,Positive
ajju bhai ap kya khelte ho wow,Positive
bhai or jada videos banao,Neutral
2026 february kon kon dekrehe ho❤❤❤,Neutral
hello ajju bhai kasa ho,Neutral
ajjubhai amit bhai munna bhai = tabahi,Positive
ajju bhai main aapko change karta hun ki ko do 2 say harao,Neutral
aaj tak jisne bhi mujhse only one kara hai vah hare ja raha hai,Neutral
bhai aap apni id ka nickname batao,Neutral
ajju bhai ek match kheloge mere dost ka,Neutral
ajjubai mere sath ek khelana,Neutral
dam ho to raistar hara kar dikhayo,Negative
are bhai anju hai ka face revile ho gaya,Neutral
bande hee bkl hai kuch khelna ata nahi or 90 level ki i d kharid li bas bkl,Negative
maa kasam jisne like nahi kiya vo exam mein fail hoga,Negative
bhaii plzz meri ak47 max kardo bhaii,Neutral
2026 me kon dekh raha hai,Neutral
aaha tamatar bade mazedar aur _,Neutral
one of the best ajju bhai❤❤,Positive
ajjubhai ko one tap nahi khelna aata hai kyaa bhai,Negative
ajwain to bahut achcha khel rahe ho,Positive
ajju bhai apka real name kya hai? ajju bhai,Neutral
kitna noob khelta he ho ajjubhai or sab kehte he ki ajju pro sab gadhe he es me dam he to raistar ke sath custom kyu nahi khelta,Negative
bhaiya mein bus ek pyari nahin please humko ek dijiye na,Neutral
bhai aapki to tarif hi karte hain ham,Positive
aap jab awm chalate ho tab aem kase aata he sentar me small sacral kese late ho,Neutral
hm dekh rhe he,Neutral
colour change hone wala gloo wall diwado,Neutral
ajjubhai aap itne pro ho to mere sath game khelo mere uid 2992514672 aajju bhai aap ko chelleng,Neutral
kya tum log pc player ho,Neutral
ajju bhai acha khel rhe ho,Positive
dg banjara samaj ke liye kya karen jab tak ki hai ki is tarah se kya hoga yah to kya hua jo bugget friendly room uuo hai kya yah sambhav nahi,Neutral
here after samay s still alive video kyunki carry ki comeback yaad aa gayi thi,Positive
maza aa gayacarry bhai one more ais song banao,Positive
sidu moose wala ki tarah banao any ways good i like it ❤,Positive
2:06 second dhruv rathi ko bhi pel diya,Negative
maza hi aa gaya bro,Positive
kya hai ya ?,Neutral
op song bhai,Positive
5 april wale like karo,Neutral
inki bhook bhi to mene hi mitani hai,Neutral
gana sunkar jis jis ko goosebumps a gaye sirf vah like karega ❤gane ne faad ke rakh diya,Positive
pura fayda utya lockdown ka chu tiye ne,Negative
oh bhai literally,Negative
31 march ko kon kon dekh rhe ho like this comment,Neutral
yeh like ka button nahi dikhra hai,Neutral
then baccho pe right of copy pr bhai mai happy hu aapse pr mera jhat jalta hai bhujao na,Negative
mkc aaj tak comment famous na hua kya aaj ho gya,Negative
ajjj kon aya hai,Positive
motivational ka baaap❤❤,Positive
bhai aura,Positive
dubbing to bohut dangerous hai ☠,Positive
captain : meri haircut copy mat kar,Positive
kaan taras gaye the awaz sunne ke liye,Positive
0:57 pitaji toh nahi par loki zaroor sunn raha hai ❤,Positive
lagta hai ki thor ki fielding set hai isa baar,Negative
0:57 emotional kar diya bhai ne,Positive
kaash bharat ke aur loog samaj sakte marvel ka craze ❤,Positive
gaurav chopra thor voice artist ek number bhai,Positive
aaj 5 january ko dekh raha hu waiting for 18 december❤❤❤❤ paav bhaji eating blood test x ray,Positive
avengers infinity war me bhi thor ke baal chote the or saare avengers haar gaye the thanos se and again thor ke baal chote hai or rumors ye keh rahe hai ki avengers harenge doomsday mai ☠,Neutral
acp praduman will return in avengers doomsday with his famous dialogue ye kya bak rhe ho ma,Positive
duniya khatam hone se pehle ani chahiye thi ye movie,Negative
0:39 thor will die after fight true thor ki bate sunkar hi pata chal rha hai,Negative
hollywood movies ki yeh baat kaafi aachi hai ❤❤❤ apni starcast mein kabhi change nahi kerte same to same rakhte hai ❤❤❤ aur bollywood mein toh kuch na kuch change cast mein hota he rehta hai jaise ki drishyam 3 mein akshay khanna ki jagah jaideep ahalawat aa gaye,Positive
tufannn ka netaa hamara ❤,Positive
abe 26 mein to duniya khatm hai,Negative
ab hoga thor ka comeback ❤❤,Positive
bahi cinemacon mai avengers doomsday ka trailer dikhaya geya hai jahape doom thor ke strombreaker ko apne 2 ungli se rok diya hai,Neutral
1:15 mera masum chris hemsworth sirname me he worth hai ❤ mrte nahi dekh sakta bhai,Negative
i think ab hoga asli endgame dar lag raha hai,Negative
aag lagegi ab to theatere mai,Positive
sir avengers doomsday ka trailer kab aayega ❤❤,Neutral
1:05 agar iss movie mein odin aa gya tab ☠,Positive
ye scene deadpool ke paas thor ke marne wale scene ke baad hi rahega,Neutral
pure saal iska intezaar karna hai ab ❤,Positive
loki kaise ho mere bhai ?,Positive
bhai ❤ ab maja aaega❤❤ old avengers is back ❤,Positive
jab maine pahali iron man theatre me dekhi thi tab main 23 saal ka tha ab jab main doomsday dekhunga main 42 saal ka ho jaunga yeh safar marvel ke saath bahut shaandaar raha aage kya hoga is excitement me 18 saal kaise nikal gaye pata hi nahi chala,Positive
sab movies ka rec tod kar ek naya record banane wapas aa raha hai sab ka baap avengers dooms day,Positive
pitaji sune ya na sune public ka sun na zaruri hai,Positive
1:00 dariye maat thor bhaiya loki apke sath hai yo dekh lega ❤,Positive
thor vs rdj dr doom fight toh banta hai,Positive
mai ye movie dekhne vardi me jaunga,Positive
finally aawaj pushpa serial ke baad aap ka voice sun ne mila,Positive
toofan ka devta ❤,Positive
thor v dara hua hai to samjho dooms kitna kitna khatarnak hoga,Positive
thor ki bate sunkar lag rha hai thor marne wala hai fight ke bad,Negative
yaar ab or intzaar nahi hoga lag bhag 5 saal non stop wait to watch an avengers movie on big screen the wait is finally over ❤,Positive
itni lambi date,Negative
26 me to duniya khatam hai doosday dekhene ka sapna sapna rahgya,Negative
bro thor insane power in doomsday damnn nnnnnn lagta he movie ke end me thor akela hi hara de ga br doom ko bruh insane power hogi thor ki full potential,Positive
pata nahi kya hoga par thor kafi hard takkar dega doom ko,Positive
maa kasam hai jisne bhi subscribe aur like nahi kiya wo pakka board exam main fail hogaa,Negative
thor aaega bhawal machaega,Positive
ek akhri yudh means,Negative
what does it mean uske pass loat sakku is she dead or just not there,Neutral
akhri baar mtlb thor retire ho jayega dr doom se fight kr ne ke baad we will miss you thor❤,Positive
agar koi bole baalo ko dekh ker darr lag raha hai to samajh lena thor aa gaya,Positive
socho bhai odin aa jaaye kyaa scene hogaa,Positive
1:13 me jo 1e:17ber:02020 hai iska kuchh matlab hai ya sirf glich hai?,Neutral
my hero tufan ka devta,Positive
hindi voice mein aisa lag raha hai jaise thor mahabharat ka yudh ladne jaa rha ho or shatru duryodhan ki jagah dr doom hai,Neutral
jab thor serious hota hai toh koi villain tik nahi pata,Positive
thor apne father ke role ke liye nice beard ke sath a gya,Neutral
bhai kuj hulk ke bare mein b bata do,Neutral
thor be like : mai kisi ko nahi chhodega sala,Positive
is video ka kaunsa part aapko sabse zyada pasand aaya?,Neutral
isme spiderman bhi hoga kya,Neutral
lekin 2026 mei duniya khatam hei na,Negative
thor maar dega dr doom ko ❤,Positive
intezaar khatam ab dikhe ga thor ka peak form ⚡⚡⚡⚡,Positive
that param pita is loki now,Neutral
yah banda alag hi level ka hai,Positive
avengers doomsday jaise story aur action na south wale la sakte hai na bollywood wale la sakte hai,Positive
yani dr doom thor ki beti ko kidnap karega doom bhi gor ke tarha baccha chor hoga kya ??,Neutral
thor ⚡ maja aane wala hai,Positive
bas ek he shabd hai gajab,Positive
bade afshose se kehna pad raha hai ki avengers secret war mai apne og avengers nahi rehenge,Negative
thor dar nahin raha hai wo kisi aur duniya main chala gaya hai aur iss dunia ka villain ko hara kar hi wo apni betide duniya main wapis ja sakta hai,Neutral
odin be like mujhse kya mang raha hai mai to khud mar chuka hu,Negative
avengers doomsday series hoti to maja aata,Positive
bhai sahab thor tabahi macha dega iss bar,Positive
iska mtlb thor ka end of era ho raha hai,Negative
thor jo infinity war me tha use khatarnak hoga doomsday me likh ke lelo ⚡ ⚡ ⚡ ⚡,Positive
ab comback hoga,Positive
thor ka fairwell hone wala lagta hai,Negative
sachme yar kya voice diye hai dekhehi malum chalraha hai ki ye movie record banadegi,Positive
ye to mere birthday ke din aa raha hain ❤ ye to mera b day gift hai maja aayenga,Positive
muje captain america vale teaser se ye wala teaser achcha laga,Positive
thor love thunder ki puri movie se jyda acha thor doomsday k teaser me dikh raha hai,Positive
purana thor aa gaya wapas,Positive
ohh bhai ham to sochre the ki vo last part tha,Neutral
itna khatarnak fight hone wala hai jaisa lag raha hai,Positive
dosto taiyar ho jao,Positive
aag lagadi aag lagadi,Positive
thor ko abb realize hu a beti ki value what about our hero stark he already knows then also sacrificed himself for better of whole earth i am not hating thor it is only time of realization ❤,Neutral
mujha abhy bhy goosebumps arha hain,Positive
bhai sahi me na avi doomsday aane wala hai,Positive
goosebumps aa gaye ☠,Positive
yooo ab maja ayenga na bidu,Positive
dekhna movie is trailer se bilkul hi alag hogi ye aur captain america ka trailer ai made jyada lag rha ha,Neutral
ab pata chala deadpool and wolverine me thor kyun ro rhaa tha,Neutral
12 month wait krna padega sala mid me dena tha 26 me to duniya khatam hai,Negative
le beta thorr : the hatoda man,Neutral
apna purana wala thor aa gya bhiyo,Positive
isi ka intezar tha❤,Positive
pura 1 saal baki hai yaar itna late nahi karna chahiye tha,Negative
ye toh big boss mein aya tha uski awwaj hai,Neutral
shri krishan ji pkka sunenge thor ki pukar,Neutral
1saal wait karna padega bhayy thode jldi nahi la sakte kya pta mai kab mar jau,Negative
mind blowing extra ordinary an aayega maza,Positive
0:41 akhari yud iykyk☠ ☠ ☠ ☠ ☠,Neutral
badi jaldi trailer dala,Negative
mr wattset ki bakchodi ke baad doomsday ki bakchodi,Negative
zada time nahi sirf 18 dec bas❤❤,Positive
bhay webseries dekh liye kya bhai log,Neutral
0:05 aura hai es voice me,Positive
kon kon doomsday movie ka intezar h >,Positive
yad nahin baje thor aakhiri fight kar dena to,Negative
26 me to dunia khatam hai : kaise dekhenge @indiamarvel ?,Negative
abhi maaza aayegana bhidu,Positive
marvel be like:system phar dege,Positive
yr marvel kya bana rha hai,Positive
meri loki aur tori ki jodi phirse,Neutral
thor ka hindi dubbing bilkul sher jaisi awaaz hai,Positive
matter bht serious hai ⚡⚡⚡,Positive
itne saalo baad odin ko yaad kiya hai,Neutral
bhai goos bumps agaya,Positive
asadharon video thanks for sharing,Positive
tony sabki faad dega is baar,Positive
lagta hai thor retirement lera hai,Neutral
1 sal bad aayegi ye movie,Neutral
bhaiji lekin 2026 mein toh duniya khtm he aaj last day bhaiji jeelo ache se,Negative
rahman dakait tere sath bhai tension maat le,Neutral
challenge accepted bhaiya,Neutral
mai sun rha hoon putra,Neutral
sukun mil rha h marvel k return se,Positive
bapre hindi me vi available kar diya,Positive
or 12 months wait karna parega,Negative
hum to king dekhne jayenge only srk,Neutral
apna thor kuch bada karna wala hai❤❤,Positive
loki sunn raha hoga,Neutral
ab to stan lee bhi nahi h to haircut kisne kara,Neutral
mujhe yeh voice dedo pls ❤,Positive
dubbing mast hai,Positive
kya yr ab itna lamba wait krna hoga,Negative
doomsday vs king kon jitenge,Neutral
dr doom ab hu ga come back,Positive
big big super dhamaka,Positive
1:02 ab hoga bawal,Positive
akhrri yudh,Negative
yr ek sath sab ka bta dona ki kon kon h ek ek kr q bta rhe ho,Neutral
pela thor ko puri strength use karte hua dekhna hai in normal form,Neutral
yeh devdas bna kyu baitha hai?dr doom ne bajayi na,Negative
arrey marvel jaldi release karo,Positive
0:59 nahi sunega chal bhag,Negative
mention to karo hindi trailer hai kar k thumbnail or titel mai dhundna padhta hai,Neutral
lagta hai marval bale thor ko nipta denge,Negative
ye sab characters ko vapas liyege,Neutral
dar ka mahol,Negative
ahhh pitajiii,Neutral
2027 1 january ko aega bhai log sabar khatam,Neutral
wooden ka betaa aayega jaldi,Neutral
kya thor odin force milegi???,Neutral
ye avengers ki movie hai ya thor ku,Neutral
marvel please increase thor hairmaja nahi aarha chote baalo me,Neutral
doctor gya ab tw,Negative
hello vijay bhai agr tum mujhe phechan jao to reply karo,Neutral
means is bar thor mara jayega,Neutral
voice mai gar gar hai,Neutral
hope in hindi dubbing hagganga nahi ye log,Negative
kal kuch daal dena saaalo,Negative
doctor strange kaha hai,Neutral
wo sb to theek hai pr kya dec 18 tk dunya bachi rahegi,Negative
thor mar jaayenge isme,Negative
wo sab thik hai par thor ro kyun ra tha,Negative
ab maja aayega,Positive
ka thor bhai jbse baal chote krwaye h tbse rote hi rhwe ho,Negative
haan to 1 saal baad,Neutral
yeh girl tho chris ki asli beti hai na ?,Neutral
aawaz me dum hai,Positive
